iter	RMSE
471	0.7226082754
472	0.7217369121
473	0.7211626689
474	0.7198363857
475	0.7194307708
476	0.7189425323
477	0.7185729197
478	0.7175332186
479	0.7163402569
480	0.7160483197
481	0.7152910253
482	0.7147427633
483	0.7134725179
484	0.7130087749
485	0.7125678344
486	0.7117832215
487	0.7111216023
488	0.710209356
489	0.7098203074
490	0.7092098552
491	0.7088228176
492	0.7084487589
493	0.7068517493
494	0.7050337513
495	0.7043603143
496	0.7036635044
497	0.7030894935
498	0.702586278
499	0.7023812962
500	0.701984409
501	0.7010972935
502	0.7005763323
503	0.6998122593
504	0.6994277863
505	0.6990633167
506	0.6984887501
507	0.6964471497
508	0.6945956716
509	0.6935429778
510	0.6931258891
511	0.6923470778
512	0.6919947624
513	0.6912013947
514	0.690587159
515	0.6874838295
516	0.6869474362
517	0.6863264785
518	0.6858234324
519	0.6848169354
520	0.6846236666
521	0.6819199358
522	0.679882891
523	0.6790332523
524	0.6785505629
525	0.6765115144
526	0.674497469
527	0.6739391923
528	0.6734264526
529	0.6730880741
530	0.6724360108
531	0.6719565567
532	0.6712983747
533	0.6703919404
534	0.6677573684
535	0.6673273876
536	0.6660489602
537	0.6656339776
538	0.6637361599
539	0.6630414906
540	0.6611426633
541	0.6576028363
542	0.6567408689
543	0.6560138936
544	0.6554928481
545	0.6548996523
546	0.6540105863
547	0.6536877715
548	0.6532248651
549	0.6526164676
550	0.6520435223
551	0.6500097845
552	0.6494736514
553	0.6489789039
554	0.6485757381
555	0.6468739133
556	0.6462079114
557	0.645587322
558	0.6439902407
559	0.6434903616
560	0.643140855
561	0.6424012525
562	0.6420878238
563	0.6415947298
564	0.6412897877
565	0.6403904209
566	0.6399827361
567	0.6394550358
568	0.639041131
569	0.638310089
570	0.6374995731
571	0.6369657155
572	0.6366628069
573	0.6362334679
574	0.6355635547
575	0.6350612618
576	0.6334115562
577	0.6324577907
578	0.6307932599
579	0.6297219365
580	0.6269191327
581	0.6266107132
582	0.6260825591
583	0.6257415789
584	0.6253555123
585	0.6229448611
586	0.6225596528
587	0.6209782124
588	0.6203697989
589	0.6198607542
590	0.6192364876
591	0.6188209104
592	0.6176518944
593	0.6168289358
594	0.6165389443
595	0.613665409
596	0.6128006345
597	0.6120883036
598	0.611599794
599	0.6113019873
